,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platform_type
1576,10059,Puyo Puyo Tetris,3DS,2014,Puzzle,Sega,0,0,0.11,0,0.11,Hand_Held
1577,10074,Fatal Frame: Maiden of Black Water,WiiU,2014,Action,Nintendo,0,0.03,0.08,0,0.11,Console
1578,10100,Akiba's Trip: Undead & Undressed,PS4,2014,Action,Acquire,0.08,0,0.01,0.02,0.11,Console
1579,10125,Pac-Man and the Ghostly Adventures 2,X360,2014,Adventure,Namco Bandai Games,0.05,0.05,0,0.01,0.11,Console
1580,10226,Thief (2014),PC,2014,Action,Square Enix,0,0.09,0,0.02,0.11,Computer
1581,10228,Pac-Man and the Ghostly Adventures 2,PS3,2014,Adventure,Namco Bandai Games,0.05,0.04,0,0.02,0.11,Console
1582,10234,Samurai Warriors 4,PSV,2014,Action,Tecmo Koei,0,0,0.11,0,0.11,Console
1583,10308,Murdered: Soul Suspect,X360,2014,Action,Square Enix,0.06,0.04,0,0.01,0.11,Console
1584,10331,Transformer: Rise of the Dark Spark,XOne,2014,Action,Activision,0.06,0.03,0,0.01,0.11,Console
1585,10388,Tales of the World: Reve Unitia,3DS,2014,Role-Playing,Namco Bandai Games,0,0,0.11,0,0.11,Hand_Held
1586,10393,BlazBlue: Chrono Phantasma,PSV,2014,Fighting,Arc System Works,0.06,0,0.03,0.02,0.11,Console
1587,10396,Earth Defense Force 2: Invaders from Planet Space,PSV,2014,Action,Xseed Games,0.04,0.01,0.04,0.02,0.11,Console
1588,10408,Child of Light,PSV,2014,Role-Playing,Ubisoft,0,0.07,0.02,0.02,0.11,Console
1589,10436,Kamen Rider: Battride War II,PS3,2014,Action,Namco Bandai Games,0,0,0.1,0,0.1,Console
1590,10470,The Wolf Among Us,PS3,2014,Adventure,Telltale Games,0.05,0.03,0,0.02,0.1,Console
1591,10483,Etrian Odyssey II: Heroes of Lagaard,3DS,2014,Role-Playing,Atlus,0,0,0.1,0,0.1,Hand_Held
1592,10491,Castlevania: Lords of Shadow 2,X360,2014,Action,Konami Digital Entertainment,0.02,0.07,0,0.01,0.1,Console
1593,10501,Risen 3: Titan Lords,PS3,2014,Role-Playing,Deep Silver,0.02,0.06,0,0.02,0.1,Console
1594,10562,Yaiba: Ninja Gaiden Z,PS3,2014,Action,Tecmo Koei,0.05,0.04,0,0.02,0.1,Console
1595,10581,GRID Autosport,X360,2014,Racing,Codemasters,0.03,0.06,0,0.01,0.1,Console
1596,10660,Digimon All-Star Rumble,PS3,2014,Fighting,Namco Bandai Games,0.06,0.03,0,0.02,0.1,Console
1597,10669,NASCAR '14,PS3,2014,Racing,Deep Silver,0.09,0,0,0.01,0.1,Console
1598,10697,F1 2014,PC,2014,Racing,Codemasters,0,0.09,0,0.01,0.1,Computer
1599,10699,Fate/hollow ataraxia,PSV,2014,Adventure,Type-Moon,0,0,0.1,0,0.1,Console
1600,10807,Disney Planes Fire & Rescue,3DS,2014,Action,Disney Interactive Studios,0.01,0.08,0,0.01,0.1,Hand_Held
1601,10810,Natural Doctrine,PS4,2014,Role-Playing,Nippon Ichi Software,0.05,0.02,0.02,0.01,0.1,Console
1602,10813,Kuroko's Basketball: Miracle Game,3DS,2014,Sports,Namco Bandai Games,0,0,0.1,0,0.1,Hand_Held
1603,10840,Risen 3: Titan Lords,PC,2014,Role-Playing,Deep Silver,0,0.08,0,0.01,0.09,Computer
1604,10866,The Voice,WiiU,2014,Action,Activision,0.08,0,0,0.01,0.09,Console
1605,10903,Etrian Odyssey 2 Untold: Knight of Fafnir,3DS,2014,Role-Playing,Atlus,0.07,0.02,0,0.01,0.09,Hand_Held
1606,10919,Girls und Panzer: I Will Master Tankery,PSV,2014,Action,Namco Bandai Games,0,0,0.09,0,0.09,Console
1607,11037,How to Train Your Dragon 2,WiiU,2014,Adventure,Little Orbit,0.04,0.05,0,0.01,0.09,Console
1608,11090,MotoGP 14,X360,2014,Racing,Milestone S.r.l.,0.04,0.04,0,0.01,0.09,Console
1609,11098,Pro Yaky? Spirits 2014,PSP,2014,Sports,Konami Digital Entertainment,0,0,0.09,0,0.09,Hand_Held
1610,11135,Hyperdimension Neptunia Re;Birth 2,PSV,2014,Action,Idea Factory International,0.05,0.02,0,0.02,0.09,Console
1611,11180,Escape Dead Island,X360,2014,Action,Deep Silver,0.03,0.05,0,0.01,0.09,Console
1612,11205,Adventure Time: The Secret of the Nameless Kingdom,X360,2014,Action,Little Orbit,0,0.08,0,0.01,0.09,Console
1613,11217,Dynasty Warriors 8: Empires,PS3,2014,Action,Tecmo Koei,0,0,0.09,0,0.09,Console
1614,11238,Just Dance Wii U,WiiU,2014,Misc,Nintendo,0,0,0.09,0,0.09,Console
1615,11266,Natural Doctrine,PSV,2014,Role-Playing,Nippon Ichi Software,0.03,0.02,0.03,0.01,0.08,Console
1616,11267,Lara Croft and the Temple of Osiris,PS4,2014,Action,Square Enix,0,0.07,0,0.01,0.08,Console
1617,11275,Escape Dead Island,PS3,2014,Action,Deep Silver,0.03,0.04,0,0.01,0.08,Console
1618,11285,MX vs. ATV Supercross,X360,2014,Racing,Nordic Games,0.03,0.05,0,0.01,0.08,Console
1619,11302,Risen 3: Titan Lords,X360,2014,Role-Playing,Deep Silver,0.02,0.06,0,0.01,0.08,Console
1620,11432,Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,Action,Little Orbit,0,0.07,0,0,0.08,Hand_Held
1621,11454,Pac-Man and the Ghostly Adventures 2,3DS,2014,Adventure,Namco Bandai Games,0.03,0.05,0,0.01,0.08,Hand_Held
1622,11490,Persona 4: Arena Ultimax,X360,2014,Fighting,Atlus,0.06,0.01,0,0.01,0.08,Console
1623,11514,Dragon Ball Z: Battle of Z,X360,2014,Fighting,Namco Bandai Games,0.01,0.06,0,0.01,0.08,Console
1624,11525,Lost Dimension,PS3,2014,Role-Playing,Nippon Ichi Software,0.05,0.01,0,0.01,0.08,Console
1625,11529,Sherlock Holmes: Crimes & Punishments,XOne,2014,Adventure,Focus Home Interactive,0.03,0.04,0,0.01,0.08,Console
1626,11568,The Voice,X360,2014,Action,Activision,0.07,0,0,0.01,0.08,Console
1627,11576,Sherlock Holmes: Crimes & Punishments,PS3,2014,Adventure,Focus Home Interactive,0.03,0.04,0,0.01,0.08,Console
1628,11602,The Golf Club,PS4,2014,Sports,Unknown,0.05,0.02,0,0.01,0.08,Console
1629,11684,Samurai Warriors Chronicles 3,3DS,2014,Action,Tecmo Koei,0,0,0.08,0,0.08,Hand_Held
1630,11703,Genkai Totsuki Moero Chronicle,PSV,2014,Role-Playing,Compile Heart,0,0,0.08,0,0.08,Console
1631,11759,Medabots 8,3DS,2014,Role-Playing,Rocket Company,0,0,0.07,0,0.07,Hand_Held
1632,11797,Hero Bank,3DS,2014,Role-Playing,Sega,0,0,0.07,0,0.07,Hand_Held
1633,11806,Tropico 5,X360,2014,Simulation,Kalypso Media,0.03,0.04,0,0.01,0.07,Console
1634,11846,The Wolf Among Us,XOne,2014,Adventure,Telltale Games,0.05,0.02,0,0.01,0.07,Console
1635,11887,Fantasia: Music Evolved,X360,2014,Misc,Disney Interactive Studios,0.05,0.01,0,0.01,0.07,Console
1636,11907,Pac-Man and the Ghostly Adventures 2,WiiU,2014,Adventure,Namco Bandai Games,0.05,0.02,0,0.01,0.07,Console
1637,11939,The Wolf Among Us,PSV,2014,Adventure,Telltale Games,0.05,0,0,0.02,0.07,Console
1638,11980,Haikyuu!! Tsunage! Itadaki no Keshiki!!,3DS,2014,Adventure,Namco Bandai Games,0,0,0.07,0,0.07,Hand_Held
1639,12019,Cut the Rope,3DS,2014,Puzzle,Activision,0.06,0,0,0.01,0.07,Hand_Held
1640,12048,Enemy Front,PS3,2014,Shooter,City Interactive,0.01,0.05,0,0.01,0.07,Console
1641,12060,Dynasty Warriors 8: Empires,XOne,2014,Action,Tecmo Koei,0.04,0.02,0,0.01,0.07,Console
1642,12072,Hoppechan: Minna de Odekake! Waku Waku Hoppe Land!!,3DS,2014,Action,Nippon Columbia,0,0,0.07,0,0.07,Hand_Held
1643,12084,Godzilla (2014),PS3,2014,Action,Namco Bandai Games,0,0.01,0.06,0,0.07,Console
1644,12099,Pro Yaky? Spirits 2014,PSV,2014,Sports,Konami Digital Entertainment,0,0,0.07,0,0.07,Console
1645,12147,Transformer: Rise of the Dark Spark (3DS),3DS,2014,Role-Playing,Activision,0.05,0.01,0,0.01,0.07,Hand_Held
1646,12169,Penguins of Madagascar,3DS,2014,Action,Namco Bandai Games,0,0.06,0,0,0.07,Hand_Held
1647,12184,Transformer: Rise of the Dark Spark,WiiU,2014,Action,Activision,0.05,0.01,0,0.01,0.07,Console
1648,12195,Hyperdimension Neptunia Victory,PSV,2014,Role-Playing,Compile Heart,0,0,0.07,0,0.07,Console
1649,12218,One Piece: Unlimited World Red,WiiU,2014,Action,Namco Bandai Games,0,0.04,0.02,0,0.07,Console
1650,12220,Gundam Try Age SP,3DS,2014,Strategy,Namco Bandai Games,0,0,0.07,0,0.07,Hand_Held
1651,12229,Pro Evolution Soccer 2015,PC,2014,Sports,Konami Digital Entertainment,0,0.06,0,0.01,0.07,Computer
1652,12237,12-Sai. Honto no Kimochi,3DS,2014,Adventure,Happinet,0,0,0.07,0,0.07,Hand_Held
1653,12245,Cardfight!! Vanguard: Lock On Victory!!,3DS,2014,Misc,FuRyu,0,0,0.07,0,0.07,Hand_Held
1654,12266,The LEGO Movie Videogame,PC,2014,Action,Warner Bros. Interactive Entertainment,0.02,0.04,0,0.01,0.06,Computer
1655,12289,Bullet Girls,PSV,2014,Action,D3Publisher,0,0,0.06,0,0.06,Console
1656,12312,Samurai Warriors Chronicles 3,PSV,2014,Action,Tecmo Koei,0,0,0.06,0,0.06,Console
1657,12334,Lego Batman 3: Beyond Gotham,PC,2014,Action,Warner Bros. Interactive Entertainment,0,0.06,0,0.01,0.06,Computer
1658,12341,Ratchet & Clank Collection,PSV,2014,Action,Sony Computer Entertainment,0,0.05,0,0.01,0.06,Console
1659,12347,Sherlock Holmes: Crimes & Punishments,X360,2014,Adventure,Focus Home Interactive,0.03,0.03,0,0.01,0.06,Console
1660,12361,Game Center CX: 3-Choume no Arino,3DS,2014,Action,Namco Bandai Games,0,0,0.06,0,0.06,Hand_Held
1661,12370,The Amazing Spider-Man 2 (2014),3DS,2014,Action,Activision,0.03,0.03,0,0,0.06,Hand_Held
1662,12407,A-Train: City Simulator,3DS,2014,Simulation,ArtDink,0,0,0.06,0,0.06,Hand_Held
1663,12423,Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!,3DS,2014,Adventure,Namco Bandai Games,0,0,0.06,0,0.06,Hand_Held
1664,12442,Terraria,PS4,2014,Action,505 Games,0,0.05,0.01,0.01,0.06,Console
1665,12476,Super Robot Wars OG Saga Masou Kishin F: Coffin of the End,PS3,2014,Strategy,Namco Bandai Games,0,0,0.06,0,0.06,Console
1666,12486,Nazotoki Battle Tore! Densetsu no Makyuu o Fukkatsu Saseyo!,3DS,2014,Action,Namco Bandai Games,0,0,0.06,0,0.06,Hand_Held
1667,12520,The Legend of Heroes VII: The Trail of Blue,PSV,2014,Role-Playing,Nihon Falcom Corporation,0,0,0.06,0,0.06,Console
1668,12529,Digimon All-Star Rumble,X360,2014,Fighting,Namco Bandai Games,0.04,0.01,0,0.01,0.06,Console
1669,12564,Disney Planes Fire & Rescue,Wii,2014,Action,Disney Interactive Studios,0,0.05,0,0,0.06,Console
1670,12597,Sacred 3,X360,2014,Role-Playing,Deep Silver,0.03,0.03,0,0.01,0.06,Console
1671,12609,Arcana Heart 3,PSV,2014,Fighting,Arc System Works,0.03,0,0.02,0.01,0.06,Console
1672,12610,Magi: Aratanaru Sekai,3DS,2014,Role-Playing,Namco Bandai Games,0,0,0.06,0,0.06,Hand_Held
1673,12612,Mahouka Koukou no Rettousei: Out of Order,PSV,2014,Adventure,Namco Bandai Games,0,0,0.06,0,0.06,Console
1674,12614,Lord of Magna: Maiden Heaven,3DS,2014,Role-Playing,Marvelous Entertainment,0,0,0.06,0,0.06,Hand_Held
1675,12680,The Amazing Spider-Man 2 (2014),WiiU,2014,Action,Activision,0.03,0.02,0,0,0.06,Console
1676,12690,Murdered: Soul Suspect,PC,2014,Action,Square Enix,0,0.05,0,0.01,0.06,Computer
1677,12713,Chaos Rings III,PSV,2014,Role-Playing,Square Enix,0,0,0.06,0,0.06,Console
1678,12753,Tokyo Twilight Ghost Hunters,PS3,2014,Role-Playing,Aksys Games,0.03,0,0.02,0.01,0.06,Console
1679,12807,Nobunaga no Yabou: Souzou,PS4,2014,Strategy,Tecmo Koei,0,0,0.06,0,0.06,Console
1680,12920,Nobunaga's Ambition: Sphere of Influence,PSV,2014,Strategy,Tecmo Koei,0,0,0.05,0,0.05,Console
1681,12942,Winning Post 8,PS3,2014,Racing,Tecmo Koei,0,0,0.05,0,0.05,Console
1682,13002,Natural Doctrine,PS3,2014,Role-Playing,Nippon Ichi Software,0.03,0.01,0.01,0.01,0.05,Console
1683,13048,Enemy Front,X360,2014,Shooter,Namco Bandai Games,0.02,0.03,0,0,0.05,Console
1684,13052,Sherlock Holmes: Crimes & Punishments,PC,2014,Adventure,Focus Home Interactive,0,0.05,0,0,0.05,Computer
1685,13072,Child of Light,PS4,2014,Role-Playing,Ubisoft,0,0.01,0.04,0,0.05,Console
1686,13094,Super Heroine Chronicle,PSV,2014,Role-Playing,Namco Bandai Games,0,0,0.05,0,0.05,Console
1687,13105,LEGO The Hobbit,PC,2014,Action,Warner Bros. Interactive Entertainment,0,0.04,0,0.01,0.05,Computer
1688,13150,Yaiba: Ninja Gaiden Z,X360,2014,Action,Tecmo Koei,0.03,0.02,0,0,0.05,Console
1689,13363,Shin Hayarigami,PSV,2014,Adventure,Nippon Ichi Software,0,0,0.05,0,0.05,Console
1690,13366,Puyo Puyo Tetris,PSV,2014,Puzzle,Sega,0,0,0.05,0,0.05,Console
1691,13393,To Love-Ru Trouble Darkness: Battle Ecstasy,PSV,2014,Action,FuRyu,0,0,0.05,0,0.05,Console
1692,13409,Hero Bank 2,3DS,2014,Role-Playing,Sega,0,0,0.05,0,0.05,Hand_Held
1693,13410,Atelier Ayesha: The Alchemist of Dusk,PSV,2014,Role-Playing,Tecmo Koei,0,0,0.05,0,0.05,Console
1694,13428,Toukiden Kiwami,PSP,2014,Action,Tecmo Koei,0,0,0.05,0,0.05,Hand_Held
1695,13447,Hakuouki SSL: Sweet School Life,PSV,2014,Adventure,Idea Factory,0,0,0.05,0,0.05,Console
1696,13522,Hyperdimension Neptunia mk2,PSV,2014,Action,Compile Heart,0,0,0.04,0,0.04,Console
1697,13526,Puyo Puyo Tetris,PS3,2014,Puzzle,Sega,0,0,0.04,0,0.04,Console
1698,13600,Doraemon: Shin Nobita no Daimakyou Peko to 5-nin no Tankenta,3DS,2014,Action,FuRyu,0,0,0.04,0,0.04,Hand_Held
1699,13626,Amagami,PSV,2014,Adventure,Kadokawa Games,0,0,0.04,0,0.04,Console
1700,13761,Infamous: First Light,PS4,2014,Action,Sony Computer Entertainment,0,0.03,0,0.01,0.04,Console
1701,13772,Terraria,XOne,2014,Action,505 Games,0,0.04,0,0,0.04,Console
1702,13773,Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!,3DS,2014,Adventure,Happinet,0,0,0.04,0,0.04,Hand_Held
1703,13781,Nobunaga's Ambition: Sphere of Influence,PS4,2014,Strategy,Tecmo Koei,0.03,0,0,0.01,0.04,Console
1704,13827,Castlevania: Lords of Shadow 2,PC,2014,Action,Konami Digital Entertainment,0.01,0.03,0,0,0.04,Computer
1705,13930,Shin Hayarigami,PS3,2014,Adventure,Nippon Ichi Software,0,0,0.04,0,0.04,Console
1706,13954,Ar Nosurge: Ode to an Unborn Star,PSV,2014,Role-Playing,Tecmo Koei,0,0,0.04,0,0.04,Console
1707,13955,Warriors Orochi 3,XOne,2014,Action,Tecmo Koei,0.01,0.03,0,0,0.04,Console
1708,13957,Ragnarok Odyssey,PS3,2014,Role-Playing,GungHo,0.03,0.01,0,0.01,0.04,Console
1709,13969,Winning Post 8,PSV,2014,Racing,Tecmo Koei,0,0,0.04,0,0.04,Console
1710,13979,Super Hero Generation,PSV,2014,Role-Playing,Namco Bandai Games,0,0,0.04,0,0.04,Console
1711,14054,Penguins of Madagascar,WiiU,2014,Action,Namco Bandai Games,0.01,0.02,0,0,0.04,Console
1712,14097,Might & Magic X: Legacy,PC,2014,Role-Playing,Ubisoft,0,0.03,0,0,0.04,Computer
1713,14126,Cooking Mama: My Sweets Shop,3DS,2014,Simulation,Office Create,0,0,0.03,0,0.03,Hand_Held
1714,14144,Tour de France 2014,PS4,2014,Sports,Focus Home Interactive,0,0.03,0,0,0.03,Console
1715,14185,MX vs. ATV Supercross,PS3,2014,Racing,Nordic Games,0.02,0.01,0,0.01,0.03,Console
1716,14210,Detective Conan: Phantom Rhapsody,3DS,2014,Action,Namco Bandai Games,0,0,0.03,0,0.03,Hand_Held
1717,14246,Trials Fusion,PC,2014,Racing,Ubisoft,0,0.03,0,0,0.03,Computer
1718,14262,Toushin Toshi,3DS,2014,Role-Playing,imageepoch Inc.,0,0,0.03,0,0.03,Hand_Held
1719,14277,Living Legends: Frozen Beauty,PC,2014,Action,Big Fish Games,0,0.03,0,0,0.03,Computer
1720,14278,Super Hero Generation,PS3,2014,Role-Playing,Namco Bandai Games,0,0,0.03,0,0.03,Console
1721,14378,Hajime no Ippo: The Fighting! (2014),PS3,2014,Sports,Namco Bandai Games,0,0,0.03,0,0.03,Console
1722,14395,Infinite Stratos 2: Ignition Hearts,PSV,2014,Adventure,5pb,0,0,0.03,0,0.03,Console
1723,14402,Super Heroine Chronicle,PS3,2014,Role-Playing,Namco Bandai Games,0,0,0.03,0,0.03,Console
1724,14472,Lords of the Fallen,PC,2014,Role-Playing,Square Enix,0,0.03,0,0,0.03,Computer
1725,14473,Great Edo Blacksmith,PSV,2014,Adventure,Nippon Ichi Software,0,0,0.03,0,0.03,Console
1726,14475,Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,WiiU,2014,Misc,Namco Bandai Games,0,0,0.03,0,0.03,Console
1727,14484,Power Rangers Super Megaforce,3DS,2014,Action,Namco Bandai Games,0.01,0.01,0,0,0.03,Hand_Held
1728,14486,Cabela's Big Game Hunter: Pro Hunts,PS3,2014,Shooter,Activision,0.03,0,0,0,0.03,Console
1729,14585,HappinessCharge PreCure! Kawarun Collection,3DS,2014,Misc,Namco Bandai Games,0,0,0.03,0,0.03,Hand_Held
1730,14618,Nisekoi: Yomeiri!?,PSV,2014,Adventure,Konami Digital Entertainment,0,0,0.03,0,0.03,Console
1731,14763,The Golf Club,XOne,2014,Sports,Unknown,0.02,0,0,0,0.03,Console
1732,14766,Infinite Stratos 2: Ignition Hearts,PS3,2014,Adventure,5pb,0,0,0.03,0,0.03,Console
1733,14767,Cabela's Big Game Hunter: Pro Hunts,X360,2014,Shooter,Activision,0.02,0,0,0,0.03,Console
1734,14781,GRID Autosport,PC,2014,Racing,Codemasters,0,0.02,0,0,0.03,Computer
1735,14795,AMNESIA World,PSV,2014,Adventure,Idea Factory,0,0,0.03,0,0.03,Console
1736,14819,The Legend of Korra (3DS),3DS,2014,Strategy,Activision,0.02,0,0,0,0.03,Hand_Held
1737,14830,Disney Planes Fire & Rescue,WiiU,2014,Action,Disney Interactive Studios,0.01,0.01,0,0,0.03,Console
1738,14833,Senran Kagura: Bon Appétit!,PSV,2014,Misc,Marvelous Entertainment,0,0,0.03,0,0.03,Console
1739,14914,Senjou no Waltz,PSV,2014,Adventure,Idea Factory,0,0,0.02,0,0.02,Console
1740,14951,Juusanshi Engi Engetsu Sangokuden 2,PSP,2014,Action,Idea Factory,0,0,0.02,0,0.02,Hand_Held
1741,14974,Omega Quintet,PS4,2014,Role-Playing,Compile Heart,0,0,0.02,0,0.02,Console
1742,14977,The Voice,PS3,2014,Action,Activision,0.02,0,0,0,0.02,Console
1743,14988,Diabolik Lovers: Vandead Carnival,PSV,2014,Action,Idea Factory,0,0,0.02,0,0.02,Console
1744,15024,Penguins of Madagascar,Wii,2014,Action,Namco Bandai Games,0,0.02,0,0,0.02,Console
1745,15141,Plants vs. Zombies: Garden Warfare,PC,2014,Shooter,Electronic Arts,0,0.02,0,0,0.02,Computer
1746,15143,Uta Kumi 575,PSV,2014,Misc,Sega,0,0,0.02,0,0.02,Console
1747,15148,Sacred 3,PC,2014,Role-Playing,Deep Silver,0,0.02,0,0,0.02,Computer
1748,15196,Motto! SoniComi,PS3,2014,Simulation,Kadokawa Games,0,0,0.02,0,0.02,Console
1749,15255,Date A Live: Arusu Install,PS3,2014,Adventure,Compile Heart,0,0,0.02,0,0.02,Console
1750,15256,Canimal Triple,PSV,2014,Misc,Warner Bros. Interactive Entertainment,0,0.02,0,0,0.02,Console
1751,15287,Don Bradman Cricket 14,PS3,2014,Sports,Tru Blu Entertainment,0,0.02,0,0,0.02,Console
1752,15334,The Awakened Fate Ultimatum,PS3,2014,Role-Playing,Nippon Ichi Software,0,0,0.02,0,0.02,Console
1753,15353,Cabela's Big Game Hunter: Pro Hunts,WiiU,2014,Shooter,Activision,0.02,0,0,0,0.02,Console
1754,15396,Invizimals: The Resistance,PSV,2014,Role-Playing,Sony Computer Entertainment,0,0.02,0,0,0.02,Console
1755,15416,Gakuen K: Wonderful School Days,PSP,2014,Adventure,Idea Factory,0,0,0.02,0,0.02,Hand_Held
1756,15425,CV Casting Voice,PS3,2014,Adventure,Namco Bandai Games,0,0,0.02,0,0.02,Console
1757,15435,Tenkai Knights: Brave Battle,3DS,2014,Action,Namco Bandai Games,0.01,0.01,0,0,0.02,Hand_Held
1758,15453,Winx Club: Saving Alfea,DS,2014,Action,Namco Bandai Games,0.02,0,0,0,0.02,Hand_Held
1759,15535,Kamen Rider: Battride War II,WiiU,2014,Action,Namco Bandai Games,0,0,0.02,0,0.02,Console
1760,15580,Bakumatsu Rock: Ultra Soul,PSV,2014,Misc,Marvelous Interactive,0,0,0.02,0,0.02,Console
1761,15585,MotoGP 14,PSV,2014,Racing,Milestone S.r.l.,0,0.01,0,0,0.02,Console
1762,15642,Lara Croft and the Temple of Osiris,PC,2014,Action,Square Enix,0,0.02,0,0,0.02,Computer
1763,15644,Grisaia no Rakuen: Le Eden de la Grisaia,PSV,2014,Adventure,Prototype,0,0,0.02,0,0.02,Console
1764,15649,Tour de France 2014,PS3,2014,Sports,Focus Home Interactive,0,0.02,0,0,0.02,Console
1765,15667,Rabbids Invasion: The Interactive TV Show,PS4,2014,Misc,Ubisoft,0,0.01,0,0,0.02,Console
1766,15692,Robotics;Notes,PSV,2014,Adventure,5pb,0,0,0.02,0,0.02,Console
1767,15766,Divinity: Original Sin,PC,2014,Role-Playing,Focus Home Interactive,0,0.02,0,0,0.02,Computer
1768,15828,Puyo Puyo Tetris,WiiU,2014,Puzzle,Sega,0,0,0.02,0,0.02,Console
1769,15832,Phoenix Wright: Ace Attorney Trilogy,3DS,2014,Adventure,Capcom,0,0,0.02,0,0.02,Hand_Held
1770,15842,Dream C Club: GoGo,PS3,2014,Adventure,D3Publisher,0,0,0.02,0,0.02,Console
1771,15860,Kadenz fermata//Akkord:fortissimo,PSV,2014,Adventure,5pb,0,0,0.02,0,0.02,Console
1772,15866,Gaist Crusher God,3DS,2014,Action,Capcom,0,0,0.02,0,0.02,Hand_Held
1773,15884,Kiss Bell,PSV,2014,Adventure,Giga,0,0,0.02,0,0.02,Console
1774,15911,Adventure Time: The Secret of the Nameless,3DS,2014,Adventure,Little Orbit,0.01,0,0,0,0.02,Hand_Held
1775,15926,Pillars of Eternity,PC,2014,Role-Playing,Paradox Interactive,0,0.01,0,0,0.02,Computer
1776,15948,Grisaia no Meikyuu: Le Labyrinthe de la Grisaia,PSV,2014,Adventure,Prototype,0,0,0.02,0,0.02,Console
1777,15964,Farming Simulator 2014,PSV,2014,Simulation,Focus Home Interactive,0.01,0,0,0,0.02,Console
1778,15991,Don Bradman Cricket 14,X360,2014,Sports,Tru Blu Entertainment,0,0.01,0,0,0.01,Console
1779,16010,Demon Gaze 2,PSV,2014,Role-Playing,Experience Inc.,0,0,0.01,0,0.01,Console
1780,16035,Shinobi Koutsutsu,PSP,2014,Adventure,Idea Factory,0,0,0.01,0,0.01,Hand_Held
1781,16102,Rewrite,PSV,2014,Adventure,Prototype,0,0,0.01,0,0.01,Console
1782,16110,Marginal #4: Idol of Supernova,PSV,2014,Adventure,Idea Factory,0,0,0.01,0,0.01,Console
1783,16117,Psycho-Pass,XOne,2014,Adventure,5pb,0,0,0.01,0,0.01,Console
1784,16134,Geten no Hana: Yume Akari,PSP,2014,Misc,Tecmo Koei,0,0,0.01,0,0.01,Hand_Held
1785,16164,htoL#NiQ: The Firefly Diary,PSV,2014,Platform,Nippon Ichi Software,0,0,0.01,0,0.01,Console
1786,16172,Hanayamata: Yosakoi Live,PSV,2014,Adventure,Namco Bandai Games,0,0,0.01,0,0.01,Console
1787,16204,Adventure Time: The Secret of the Nameless,X360,2014,Adventure,Little Orbit,0.01,0,0,0,0.01,Console
1788,16207,Ro-Kyu-Bu! Secret Photo Op,PSV,2014,Adventure,Kadokawa Games,0,0,0.01,0,0.01,Console
1789,16218,Tsukigime Ranko's Longest Day,PS3,2014,Action,Namco Bandai Games,0,0.01,0,0,0.01,Console
1790,16219,Bakumatsu Rock,PSP,2014,Action,Marvelous Entertainment,0,0,0.01,0,0.01,Hand_Held
1791,16253,Strider (2014),PS3,2014,Platform,Capcom,0,0,0.01,0,0.01,Console
1792,16275,Chaos;Head Noah,PSV,2014,Adventure,5pb,0,0,0.01,0,0.01,Console
1793,16305,Tetris Ultimate,PSV,2014,Puzzle,Ubisoft,0,0.01,0,0,0.01,Console
1794,16320,Touch Detective 3: Does Funghi Dream of Bananas?,3DS,2014,Adventure,Success,0,0,0.01,0,0.01,Hand_Held
1795,16325,Binary Star,PSV,2014,Adventure,Idea Factory,0,0,0.01,0,0.01,Console
1796,16383,Fate/kaleid liner Prisma Illya,3DS,2014,Action,Kadokawa Games,0,0,0.01,0,0.01,Hand_Held
1797,16409,The Amazing Spider-Man 2 (2014),PC,2014,Action,Activision,0,0.01,0,0,0.01,Computer
1798,16413,"Sakigake!! Otokojuku - Nihon yo, Kore ga Otoko Dearu!",PS3,2014,Fighting,Namco Bandai Games,0,0,0.01,0,0.01,Console
1799,16426,SoniPro,3DS,2014,Adventure,imageepoch Inc.,0,0,0.01,0,0.01,Hand_Held
1800,16433,Golden Time: Vivid Memories,PSV,2014,Adventure,ASCII Media Works,0,0,0.01,0,0.01,Console
1801,16446,Heart no Kuni no Alice: Wonderful Twin World,PSP,2014,Adventure,Quinrose,0,0,0.01,0,0.01,Hand_Held
1802,16454,Shin Koihime Musou: Otome Taisen * Sangokushi Engi,PS3,2014,Adventure,Views,0,0,0.01,0,0.01,Console
1803,16456,Winx Club: Saving Alfea,3DS,2014,Action,Namco Bandai Games,0,0.01,0,0,0.01,Hand_Held
1804,16473,Amnesia Later,PSV,2014,Misc,Idea Factory,0,0,0.01,0,0.01,Console
1805,16497,Legends of Oz: Dorothy's Return,3DS,2014,Puzzle,GameMill Entertainment,0,0.01,0,0,0.01,Hand_Held
1806,16503,Satomi Hakkenden: Hachi Tamanoki,PSP,2014,Adventure,Quinrose,0,0,0.01,0,0.01,Hand_Held
1807,16508,Rabbids Invasion: The Interactive TV Show,XOne,2014,Misc,Ubisoft,0,0.01,0,0,0.01,Console
1808,16522,Bakumatsu Rock: Ultra Soul,PSP,2014,Misc,Marvelous Interactive,0,0,0.01,0,0.01,Hand_Held
